DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.15495483577251434)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.034911718219518661)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.034706663340330124)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.034098118543624878)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.027623360976576805)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.02840440534055233)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.032613407820463181)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.094103068113327026)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.17211243510246277)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.061981935054063797)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.01396468747407198)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.013882665894925594)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.013639247976243496)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.011049344204366207)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.011361761949956417)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.013045363128185272)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.037641227245330811)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.914846+((0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.068844974040985107)" 
0, comb, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0272252648892" 
0, comb, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0333669434564" 
0, comb, down_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0262912732467" 
0, comb, down_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0843863043703" 
0, comb, down_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0278276684311" 
0, comb, down_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0322673222276" 
0, comb, down_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.1443819631" 
0, comb, down_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0986516637657" 
0, comb, down_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0328850545474" 
0, comb, down_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0108901057707" 
0, comb, down_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.013346777953" 
0, comb, down_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0105165092833" 
0, comb, down_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.033754522103" 
0, comb, down_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0111310671823" 
0, comb, down_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))-0.0129069294192" 
