DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.097698040306568146" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.035890020430088043" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.030591338872909546" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.029707241803407669" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.029463060200214386" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.030538776889443398" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.036362040787935257" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.066709131002426147" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.13761924207210541" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.039079215377569199" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.014356007799506187" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.012236535549163818" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.011882896535098553" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.011785224080085754" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.012215510942041874" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.014544816687703133" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.026683652773499489" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.055047694593667984" 
0, comb, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))-0.0286116091442" 
0, comb, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))-0.0286771999561" 
0, comb, down_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))-0.0343445317346" 
0, comb, down_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))-0.0513857356921" 
0, comb, down_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))-0.0296523643253" 
0, comb, down_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))-0.0290626044044" 
0, comb, down_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))-0.0905468144315" 
0, comb, down_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))-0.08499234278" 
